fajr jamaah,sunrise,zuhr jamaah,asr jamaah,maghrib jamaah,isha jamaah
05:45,07:11,13:25,16:40,18:47,20:25
05:45,07:13,13:25,16:40,18:44,20:25
05:45,07:15,13:25,16:40,18:42,20:25
06:00,07:17,13:00,16:25,18:39,20:10
06:00,07:19,13:25,16:25,18:37,20:10
06:00,07:20,13:25,16:25,18:35,20:10
06:00,07:22,13:25,16:25,18:32,20:10
06:00,07:24,13:25,16:25,18:30,20:10
06:00,07:26,13:25,16:25,18:28,20:10
06:00,07:28,13:25,16:25,18:25,20:10
06:15,07:29,13:00,16:10,18:23,19:55
06:15,07:31,13:25,16:10,18:21,19:55
06:15,07:33,13:25,16:10,18:18,19:55
06:15,07:35,13:25,16:10,18:16,19:55
06:15,07:37,13:25,16:10,18:14,19:55
06:15,07:39,13:25,16:10,18:11,19:55
06:15,07:40,13:25,16:10,18:09,19:55
06:30,07:42,13:00,16:10,18:07,19:40
06:30,07:44,13:25,16:10,18:05,19:40
06:30,07:46,13:25,16:10,18:02,19:40
06:30,07:48,13:25,16:10,18:00,19:40
06:30,07:50,13:25,16:10,17:58,19:40
06:30,07:52,13:25,16:10,17:56,19:40
06:30,07:54,13:25,16:10,17:54,19:40
06:30,07:56,13:00,15:55,17:52,19:40
06:30,07:57,13:25,15:55,17:50,19:40
05:45,06:59,12:40,14:40,16:47,18:55
05:45,07:01,12:40,14:40,16:45,18:55
05:45,07:03,12:40,14:40,16:43,18:55
05:45,07:05,12:40,14:40,16:41,18:55
05:45,07:07,12:40,14:40,16:39,18:55
