fajr jamaah,zuhr jamaah,asr jamaah,maghrib jamaah,isha jamaah
06:00,13:45,17:00,18:52,20:45
06:00,13:45,17:00,18:49,20:45
06:00,13:45,17:00,18:47,20:45
06:15,13:00,16:45,18:44,20:30
06:15,13:45,16:45,18:42,20:30
06:15,13:45,16:45,18:40,20:30
06:15,13:45,16:45,18:37,20:30
06:15,13:45,16:45,18:35,20:30
06:15,13:45,16:45,18:33,20:30
06:15,13:45,16:45,18:30,20:30
06:30,13:00,16:30,18:28,20:15
06:30,13:45,16:30,18:26,20:15
06:30,13:45,16:30,18:23,20:15
06:30,13:45,16:30,18:21,20:15
06:30,13:45,16:30,18:19,20:15
06:30,13:45,16:30,18:16,20:15
06:30,13:45,16:30,18:14,20:15
06:45,13:00,16:30,18:12,20:00
06:45,13:45,16:30,18:10,20:00
06:45,13:45,16:30,18:07,20:00
06:45,13:45,16:30,18:05,20:00
06:45,13:45,16:30,18:03,20:00
06:45,13:45,16:30,18:01,20:00
06:45,13:45,16:30,17:59,20:00
06:45,13:00,16:15,17:57,20:00
06:45,13:45,16:15,17:55,20:00
06:00,13:00,15:00,16:52,19:15
06:00,13:00,15:00,16:50,19:15
06:00,13:00,15:00,16:48,19:15
06:00,13:00,15:00,16:46,19:15
06:00,13:00,15:00,16:44,19:15
